variable,pretty_name,pretty_name_short
sq_Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Evaluable.Tissue...mm.2,(AI) Evaluable Tissue Area [sq mm²],(AI) Eval. Tissue Area [sq]
log_Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Total.Tissue...mm.2,(AI) Total Tissue Area (Artifact Detect) [log mm²],(AI) Tot. Tiss. Area (AD) [log]
sq_Artifact.Detect.v3.0.0...Supporting.Result...Area.of.Total.Tissue...mm.2,(AI) Total Tissue Area (Artifact Detect) [sq mm²],(AI) Tot. Tiss. Area (AD) [sq]
AI_artefact_fraction_measure, (AI) Artifacts [%],
log_AI_artefact_fraction_measure, (AI) Artifacts [%] [log],(AI) Artifacts [%] [log]
sq_AI_artefact_fraction_measure, (AI) Artifacts [%] [sq],(AI) Artifacts [%] [sq]
Sample type,Sample Type,
Cancer,Cancer,
Metastatic,Metastatic,
Path_WSI Quality,(Path) WSI Quality,
AI_scanning_artifacts_area_%,(AI) Scanning Artifacts [%],(AI) Scan. Art. [%]
Path_Specimen Qualityl,(Path) Specimen Quality,
Path_Microtomy_ Artifacts,(Path) Microtomy Artifacts,
Path_Thick_Specimen,(Path) Thick Specimen,
Path_Cautery/Crush artifact_ average,(Path) Cautery/Crush Artifact [numeric],(Path) Cautery/Crush Art. [#]
Path_Cautery/Crush artifact average_yes_no,(Path) Cautery/Crush Artifact [yes/no],(Path) Cautery/Crush Art. [Y/N]
Path_Cancer_content_in_tissue_specimens_per_slide_Resection/Biopsy_Ratio_fixed,(Path) Cancer Content in Tissue Specimens per Slide (Resection/Biopsy) Ratio,(Path) Ca. Content Ratio
Path_Cancer_content_in_tissue_specimens_per_slide_Resection.Biopsy_Ratio_fixed,(Path) Cancer Content in Tissue Specimens per Slide (Resection/Biopsy) Ratio,(Path) Ca. Content Ratio
Path_specimen_fragmentation,(Path) Specimen Fragmentation,
Path_evaluable_cancer_area_marked_as_artifact_by_AI,(Path) Evaluable Cancer Area Marked as Artifact by AI,(Path) Eval. Ca. Area Mark. Art.
AI_total_cell_density_mm2,(AI) Total Cell Density,
AI_total_tumor_area_%,(AI) Tumor Area [%],
AI_total_cancer_area_%,(AI) Cancer Area [%],
Path_Hemorrhage,(Path) Hemorrhage,
Path_Necrosis,(Path) Necrosis,
Path_Tumor-Stroma Content,(Path) Tumor-Stroma Content,
Path_Acute infflammation,(Path) Acute Inflammation,
Path_Immune aggregates,(Path) Immune Aggregates,
Path_Tumor Infiltrating lymphocytes,(Path) Tumor Infiltrating Lymphocytes,(Path) TILs
Path_High content of intratumoral immune infiltrates,(Path) High Content of Intratumoral Immune Infiltrates,(Path) High Intratum. Immune
Path_Highly cellular stroma,(Path) Highly Cellular Stroma,
Path_Tetriary Lymphoid Structures,(Path) Tertiary Lymphoid Structures,(Path) Tert. Lymph. Struct.
AI_cancer_area_%_per_tumor,(AI) Cancer Area per Tumor [%] ,(AI) Ca. Area per Tum. [%]
AI_stroma_%_per_tumor,(AI) Stroma per Tumor [%] ,(AI) Stroma per Tum. [%]
AI_total_cell_density_in_tumor_mm2,(AI) Total Cell Density in Tumor,(AI) Tot. Cell Dens. in Tum.
AI_cancer_cell_density_in_tumor_mm2,(AI) Cancer Cell Density in Tumor,(AI) Ca. Cell Dens. in Tum.
AI_lymphocyte_density_in_tumor_mm2,(AI) Lymphocyte Density in Tumor,(AI) Lymph. Dens. in Tum.
AI_immune_cell_density_in_tumor_mm2,(AI) Immune Cell Density in Tumor,(AI) Immune Cell Dens. in Tum.
AI_fibroblast_density_in_tumor_mm2,(AI) Fibroblast Density in Tumor,(AI) Fibro. Dens. in Tum.
AI_non_immune_cell_density_in_tumor_mm2,(AI) Non-Immune Cell Density in Tumor,(AI) Non-Immune Dens. in Tum.
AI_total_stroma_area_%,(AI) Stroma Area [%],
AI_total_necrosis_area_%,(AI) Necrosis Area [%],
AI_%_lymphocytes_in_tumor,(AI) Lymphocytes in Tumor [%],(AI) Lymph. in Tum. [%]
AI_%_of_fibroblasts_in_tumor,(AI) Fibroblasts in Tumor [%],(AI) Fibro. in Tum. [%]
AI_%_of_immune_cells_in_tumor,(AI) Immune Cells in Tumor [%],(AI) Immune Cells in Tum. [%]
AI_%_of_non_immune_cells_in_tumor,(AI) Non-Immune Cells in Tumor [%],(AI) Non-Immune in Tum. [%]
AI_density_of_cells_in_normal_tissue_mm2,(AI) Density of Cells in Normal Tissue,(AI) Dens. Cells Norm. Tiss.
Path_Margin Ink_Resection,(Path) Margin Ink (Resection),(Path) Margin Ink (Resec)
TCC_FMI_minus_TCC_AI,TCC "FMI" - "AI" Discrepancy,(TCC) FMI - AI Disc.
TCC_Patho_minus_TCC_FMI,TCC "Patho" - "FMI" Discrepancy,(TCC) Path - FMI Disc.
TCC_Patho_minus_TCC_AI,TCC "Patho" - "AI" Discrepancy,(TCC) Path - AI Disc.
AI_total_stroma_area_.,(AI) Stroma Area [%],
AI_total_necrosis_area_.,(AI) Necrosis Area [%],
AI_cancer_area_._per_tumor,(AI) Cancer Area per Tumor [%] ,(AI) Ca. Area per Tum. [%]
